,WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
3374100,1453682,UG,Maracha,ENG,Town,56190315
3374101,1453691,UG,Masaka,ENG,Town,56190307
3374102,1453696,UG,Masindi,ENG,Town,56190308
3374103,1453697,UG,Masindi Port,ENG,Town,56190309
3374104,1453712,UG,Matiri,ENG,Town,56190278
3374105,1453714,UG,Matuga,ENG,Town,56190376
3374106,1453731,UG,Mayenze,ENG,Town,56190327
3374107,1453736,UG,Mazimasa,ENG,Town,56190236
3374108,1453742,UG,Mbale,ENG,Town,56190313
3374109,1453747,UG,Mbarara,ENG,Town,56190356
3374110,1453815,UG,Mityana,ENG,Town,56190372
3374111,1453821,UG,Molo,ENG,Town,56190370
3374112,1453827,UG,Moroto,ENG,Town,56190326
3374113,1453837,UG,Moyo,ENG,Town,56190329
3374114,1453858,UG,Mpigi,ENG,Town,56190319
3374115,1453867,UG,Mpondwe,ENG,Town,56190288
3374116,1453886,UG,Mubende,ENG,Town,56190310
3374117,1453895,UG,Muduma,ENG,Town,56190319
3374118,1453935,UG,Mukongoro,ENG,Town,56190290
3374119,1453938,UG,Mukono,ENG,Town,56190322
3374120,1453974,UG,Muntu,ENG,Town,56190226
3374121,1453998,UG,Mutai,ENG,Town,56190262
3374122,1454003,UG,Mutir,ENG,Town,56190331
3374123,1454004,UG,Mutoke,ENG,Town,56190303
3374124,1454011,UG,Mutukula,ENG,Town,56190349
3374125,1454044,UG,Mweya,ENG,Town,56190289
3374126,1454051,UG,Mwirasandu,ENG,Town,56190341
3374127,1454055,UG,Myanzi,ENG,Town,56190311
3374128,1454057,UG,Naam Okora,ENG,Town,56190366
3374129,1454067,UG,Nabilatuk,ENG,Town,56190338
3374130,1454068,UG,Nabingora,ENG,Town,56190310
3374131,1454074,UG,Nabiswera,ENG,Town,56190330
3374132,1454089,UG,Naboa,ENG,Town,56190232
3374133,1454112,UG,Nabyeso,ENG,Town,56190219
3374134,1454123,UG,Nagongera,ENG,Town,56190368
3374135,1454128,UG,Naigobia,ENG,Town,56190259
3374136,1454149,UG,Nakalama,ENG,Town,56190258
3374137,1454167,UG,Nakasongola,ENG,Town,56190330
3374138,1454202,UG,Nakifuma,ENG,Town,56190323
3374139,1454219,UG,Nakitoma,ENG,Town,56190330
3374140,1454249,UG,Nalweyo,ENG,Town,56190275
3374141,1454284,UG,Namasagali,ENG,Town,56190293
3374142,1454285,UG,Namasale,ENG,Town,56190226
3374143,1454319,UG,Naminage,ENG,Town,56190294
3374144,1454358,UG,Namulonge,ENG,Town,56190376
3374145,1454360,UG,Namungalwe,ENG,Town,56190258
3374146,1454376,UG,Namutumba,ENG,Town,56190237
3374147,1454380,UG,Namwendwa,ENG,Town,56190293
3374148,1454383,UG,Namwiwa,ENG,Town,56190354
3374149,1454422,UG,Nawaikoke,ENG,Town,56190354
3374150,1454468,UG,Ndolwa,ENG,Town,56190292
3374151,1454473,UG,Nebbi,ENG,Town,56190333
3374152,1454504,UG,Ngora,ENG,Town,56190291
3374153,1454536,UG,Nkoko,ENG,Town,56190275
3374154,1454585,UG,Nsangi,ENG,Town,56190374
3374155,1454608,UG,Nsongezi,ENG,Town,56190334
3374156,1454633,UG,Ntoroko,ENG,Town,56190239
3374157,1454642,UG,Ntusi,ENG,Town,56190358
3374158,1454643,UG,Ntwetwe,ENG,Town,56190272
3374159,1454777,UG,Obongi,ENG,Town,56190377
3374160,1454862,UG,Okokorio,ENG,Town,56190279
3374161,1454863,UG,Okollo,ENG,Town,56190229
3374162,1454942,UG,Omugo,ENG,Town,56190316
3374163,1454979,UG,Oraba,ENG,Town,56190343
3374164,1454991,UG,Orungo,ENG,Town,56190224
3374165,1455003,UG,Otrevu,ENG,Town,56190316
3374166,1455005,UG,Otuboi,ENG,Town,56190268
3374167,1455027,UG,Pachwa,ENG,Town,56190276
3374168,1455029,UG,Padibe,ENG,Town,56190367
3374169,1455038,UG,Paidha,ENG,Town,56190332
3374170,1455042,UG,Pajule,ENG,Town,56190346
3374171,1455049,UG,Pakuba,ENG,Town,56190286
3374172,1455050,UG,Pakwach,ENG,Town,56190286
3374173,1455057,UG,Palaro,ENG,Town,56190251
3374174,1455061,UG,Pallisa,ENG,Town,56190348
3374175,1455079,UG,Paraa,ENG,Town,56190286
